Cell,Mutation,MOI,dataSet,SCALING_timeRange,SCALING_intensityMin,SCALING_intensityMax,SCALING_intensityRange,DEC_dataInputName,DEC_intensityMaximum,DEC_threshold_minimum_for_intensity_maximum,DEC_test_minimum_for_intensity_maximum,DEC_intensityRange,DEC_threshold_intensity_range,DEC_test_intensity_range,DEC_decisonSteps,DEC_decision,SM_maximum_N_Estimate,SM_maximum_Std_Error,SM_maximum_t_value,SM_maximum_Pr_t,SM_slopeParam_N_Estimate,SM_slopeParam_Std_Error,SM_slopeParam_t_value,SM_slopeParam_Pr_t,SM_midPoint_N_Estimate,SM_midPoint_Std_Error,SM_midPoint_t_value,SM_midPoint_Pr_t,SM_residual_Sum_of_Squares,SM_log_likelihood,SM_AIC_value,SM_BIC_value,SM_isThisaFit,SM_startVector_maximum,SM_startVector_slopeParam,SM_startVector_midPoint,SM_model,SM_additionalParameters,SM_maximum_Estimate,SM_slopeParam_Estimate,SM_midPoint_Estimate,SM_dataInputName,SM_betterFit,SM_correctFit,SM_totalFit,SM_maximum_x,SM_maximum_y,SM_midPoint_x,SM_midPoint_y,SM_slope,SM_incrementTime,SM_startPoint_x,SM_startPoint_y,SM_reachMaximum_x,SM_reachMaximum_y,DSM_finalAsymptoteIntensityRatio_N_Estimate,DSM_finalAsymptoteIntensityRatio_Std_Error,DSM_finalAsymptoteIntensityRatio_t_value,DSM_finalAsymptoteIntensityRatio_Pr_t,DSM_maximum_N_Estimate,DSM_maximum_Std_Error,DSM_maximum_t_value,DSM_maximum_Pr_t,DSM_slope1Param_N_Estimate,DSM_slope1Param_Std_Error,DSM_slope1Param_t_value,DSM_slope1Param_Pr_t,DSM_midPoint1Param_N_Estimate,DSM_midPoint1Param_Std_Error,DSM_midPoint1Param_t_value,DSM_midPoint1Param_Pr_t,DSM_slope2Param_N_Estimate,DSM_slope2Param_Std_Error,DSM_slope2Param_t_value,DSM_slope2Param_Pr_t,DSM_midPointDistanceParam_N_Estimate,DSM_midPointDistanceParam_Std_Error,DSM_midPointDistanceParam_t_value,DSM_midPointDistanceParam_Pr_t,DSM_residual_Sum_of_Squares,DSM_log_likelihood,DSM_AIC_value,DSM_BIC_value,DSM_isThisaFit,DSM_startVector_finalAsymptoteIntensityRatio,DSM_startVector_maximum,DSM_startVector_slope1Param,DSM_startVector_midPoint1Param,DSM_startVector_slope2Param,DSM_startVector_midPointDistanceParam,DSM_model,DSM_additionalParameters,DSM_finalAsymptoteIntensityRatio_Estimate,DSM_maximum_Estimate,DSM_slope1Param_Estimate,DSM_midPoint1Param_Estimate,DSM_slope2Param_Estimate,DSM_midPointDistanceParam_Estimate,DSM_dataInputName,DSM_betterFit,DSM_correctFit,DSM_totalFit,DSM_maximum_x,DSM_maximum_y,DSM_midPoint1_x,DSM_midPoint1_y,DSM_midPoint2_x,DSM_midPoint2_y,DSM_slope1,DSM_slope2,DSM_finalAsymptoteIntensity,DSM_incrementTime,DSM_startPoint_x,DSM_startPoint_y,DSM_reachMaximum_x,DSM_reachMaximum_y,DSM_decrementTime,DSM_startDeclinePoint_x,DSM_startDeclinePoint_y,DSM_endDeclinePoint_x,DSM_endDeclinePoint_y,DEC_test_name,DEC_test_sm_modelCheck,DEC_test_dsm_modelCheck,DEC_test_dataScalingParameters,DEC_test_sigmoidalFit,DEC_test_doublesigmoidalFit,DEC_test_sigmoidalAdditionalParameters,DEC_test_doublesigmoidalAdditionalParameters,DEC_threshold_AIC,DEC_sigmoidalAIC,DEC_test_sigmoidalAIC,DEC_doublesigmoidalAIC,DEC_test_doublesigmoidalAIC,DEC_dsm_maximum_x,DEC_timeRange,DEC_test_dsm_maximum_x,DEC_sm_tmax_IntensityRatio,DEC_threshold_sm_tmax_IntensityRatio,DEC_test_sm_tmax_IntensityRatio,DEC_dsm_tmax_IntensityRatio,DEC_threshold_dsm_tmax_IntensityRatio,DEC_test_dsm_tmax_IntensityRatio,DEC_sm_startPoint_x,DEC_test_sm_startPoint_x,DEC_dsm_startPoint_x,DEC_test_dsm_startPoint_x,DEC_sm_startIntensity,DEC_threshold_t0_max_int,DEC_test_sm_startIntensity,DEC_dsm_startIntensity,DEC_test_dsm_startIntensity,COMB_maximum_x,COMB_maximum_y,COMB_midPoint1_x,COMB_midPoint1_y,COMB_midPoint2_x,COMB_midPoint2_y,COMB_slope1,COMB_slope2,COMB_finalAsymptoteIntensity,COMB_incrementTime,COMB_startPoint_x,COMB_startPoint_y,COMB_reachMaximum_x,COMB_reachMaximum_y,COMB_decrementTime,COMB_startDeclinePoint_x,COMB_startDeclinePoint_y,COMB_endDeclinePoint_x,COMB_endDeclinePoint_y,DSM_warning_reachMaximum_cor,DSM_warning_startDeclinePoint_cor
1,WT,50,SCV028,24,1.2113532531308e-15,2.94043811055366e-15,1.72908485742286e-15,1,2.94043811055366e-15,0.3,FALSE,1.72908485742286e-15,0.1,FALSE,1a_1b_1c,no_signal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,WT,50,SCV028,24,1.39651091724169e-15,3.06070898447651e-15,1.66419806723483e-15,2,3.06070898447651e-15,0.3,FALSE,1.66419806723483e-15,0.1,FALSE,1a_1b_1c,no_signal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,WT,50,SCV028,24,1.26324855305254e-15,2.81256297366228e-15,1.54931442060973e-15,3,2.81256297366228e-15,0.3,FALSE,1.54931442060973e-15,0.1,FALSE,1a_1b_1c,no_signal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,WT,50,SCV028,24,1.68695177738089e-15,3.72521454541944e-15,2.03826276803855e-15,4,3.72521454541944e-15,0.3,FALSE,2.03826276803855e-15,0.1,FALSE,1a_1b_1c,no_signal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,WT,50,SCV028,24,1.92104031017516e-15,0.873623623,0.873623622999998,5,0.873623623,0.3,TRUE,0.873623622999998,0.1,TRUE,1c_3a_8,double_sigmoidal,0.529689108886537,0.0616189997639553,8.59619777853622,1.25268304804309e-10,75.7034770497584,135.402092459139,0.559101234514556,0.579209722559572,0.307967294677406,0.0268757239899889,11.4589394798117,3.30008098988477e-14,4.76933484517004,-13.7360017093653,35.4720034187306,42.5168038815049,TRUE,0.390553586091846,44.2195089271199,-0.292225305344909,1,TRUE,0.462748918369098,3.15431154373993,7.39121507225773,5,2,20,26,NA,0.462748918369098,7.39121507225773,0.231374459184549,0.364913563766204,1.26810555791118,6.75716229330214,0,8.02526785121332,0.462748918369098,0,0.0278183735742839,0,1,0.856518286862124,0.0188979970830015,45.3232309805229,5.0467668191879e-34,39.1939060096463,6.50936844430929,6.02115341065245,5.87797005321847e-07,0.334370483118418,0.00487891384521293,68.5337953746598,1.37003710519821e-40,58.7687189463954,12.4119943233472,4.73483288949388,3.19080646435147e-05,0.436462554527219,0.00666843135132493,65.4520578427337,7.41569199371276e-40,0.178254721890231,56.9290927496833,-99.8581854993665,-87.5297846895116,TRUE,0.226011822698638,0.53396390369162,89.9139795163693,0.127835836654995,135.68104940491,0.58292383633554,1,TRUE,0,0.748274608934242,1.6330794170686,8.02489159484202,2.44869662276648,10.4751013086532,5,2,20,48,14.2095454913334,0.748274608934242,8.02480775920135,0.374137301171582,18.5000514043492,0.374136101048065,0.305518875737265,-0.458105690460953,0,2.44919272869324,6.80021139485473,0,9.24940412354796,0.748274608934242,1.63341042147134,17.6833461936135,0.748274608934242,19.3167566150849,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-10,35.4720034187306,FALSE,-99.8581854993665,TRUE,14.2095454913334,24,TRUE,1,0.85,TRUE,1.41584820331456e-06,0.75,TRUE,6.75716229330214,TRUE,6.80021139485473,TRUE,3.46832002212343e-11,0.05,TRUE,1.52242801745335e-06,TRUE,14.2095454913334,0.748274608934242,8.02480775920135,0.374137301171582,18.5000514043492,0.374136101048065,0.305518875737265,-0.458105690460953,0,2.44919272869324,6.80021139485473,0,9.24940412354796,0.748274608934242,1.63341042147134,17.6833461936135,0.748274608934242,19.3167566150849,0,NA,NA
6,WT,50,SCV028,24,7.22333022972569e-16,2.52852803729475e-15,1.80619501432218e-15,6,2.52852803729475e-15,0.3,FALSE,1.80619501432218e-15,0.1,FALSE,1a_1b_1c,no_signal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,WT,50,SCV028,24,9.99030466144904e-16,0.859455408,0.859455407999999,7,0.859455408,0.3,TRUE,0.859455407999999,0.1,TRUE,1c_3a_8,double_sigmoidal,0.55166242771937,0.0438266617517116,12.5873704651445,1.71015629371612e-15,96.6816780426065,140.473621735207,0.688255039261762,0.495264576203673,0.289241675788099,0.0164033343373279,17.633102504647,1.81985110280655e-20,2.52104528563976,-0.0290370856633094,8.05807417132662,15.1028746341009,TRUE,1.19063873458654,27.6364415560383,0.278300422283355,1,TRUE,0.474129256893822,4.02840325177527,6.94180021891438,7,2,20,22,NA,0.474129256893822,6.94180021891438,0.237064628446911,0.477495960058217,0.992949253091097,6.44532559236883,0,7.43827484545993,0.474129256893822,0,0.0590328083753149,0,1,0.679450965594155,0.0178398729944083,38.0860875975474,2.76120338014842e-31,72.1474958945865,25.3390562826972,2.84728425122338,0.00715477033893162,0.295809876013996,0.00554331918981811,53.3633128248028,1.31096752632154e-36,180,84.9292926375902,2.11941009291217,0.0408284806874154,0.58803361390259,0.00739965214134714,79.4677374922568,5.94077176093936e-43,0.291310352505949,46.3688162078985,-78.7376324157971,-66.4092316059422,TRUE,0.168560328194872,1.12251514736563,149.040504059265,0.894500888439361,88.2599360142136,0.487934016380459,1,TRUE,0,0.583957806850719,3.00614566227444,7.09943702433591,7.5,14.1128067336622,7,5,20,46,17.0890711007616,0.583957806850719,7.09941641893656,0.291969860425334,21.212266704528,0.291953778790557,0.438865556566063,-1.09492087969204,0,1.33060751319821,6.43411266233745,0,7.76472017553566,0.583957806850719,0.533333337304668,20.9456000358756,0.583957806850719,21.4789333731803,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-10,8.05807417132662,FALSE,-78.7376324157971,TRUE,17.0890711007616,24,TRUE,1,0.85,TRUE,8.31182428865448e-10,0.75,TRUE,6.44532559236883,TRUE,6.43411266233745,TRUE,3.39722979478665e-13,0.05,TRUE,3.14553053278936e-10,TRUE,17.0890711007616,0.583957806850719,7.09941641893656,0.291969860425334,21.212266704528,0.291953778790557,0.438865556566063,-1.09492087969204,0,1.33060751319821,6.43411266233745,0,7.76472017553566,0.583957806850719,0.533333337304668,20.9456000358756,0.583957806850719,21.4789333731803,0,NA,NA
8,WT,50,SCV028,24,2.07545098266099e-15,1.700892236,1.700892236,8,1.700892236,0.3,TRUE,1.700892236,0.1,TRUE,1c_3a_8,double_sigmoidal,0.726511635776823,0.049006719434946,14.8247351414989,7.62026437821496e-18,60.7774259116631,54.9830179199605,1.10538541191278,0.275597140790034,0.33392546559811,0.0169648210224148,19.683406335788,3.48528378869813e-22,2.84143719365989,-2.60121897333435,13.2024379466687,20.247238409443,TRUE,0.447679582703859,47.4915980763966,0.1508126710332,1,TRUE,1.23571800065646,2.5323927463193,8.01421117435464,8,2,20,29,NA,1.23571800065646,8.01421117435464,0.617859000328229,0.782330825339649,1.57953382460671,7.22444426205129,0,8.80397808665799,1.23571800065646,0.0469393381564981,0.108380169262579,0.433098955979443,0.667457281604597,0.830751165860525,0.0314219916747633,26.4385267000038,1.25909145892056e-25,51.3424598827571,21.5346124737265,2.38418313519214,0.0223581220733299,0.340424500300752,0.00933742277438994,36.4580793358147,1.3345199846076e-30,180,127.057247437271,1.41668423982558,0.164940324211505,0.588591488285168,0.0119267357085956,49.3505937136656,2.273955591993e-35,0.863211913272779,23.0139894322635,-32.027978864527,-19.699578054672,TRUE,0.595028657931834,0.719087871350348,122.318668245927,0.226641763402149,153.627020778968,0.290459948049393,1,TRUE,0.0469393381564981,1.41301820806012,2.13926916178154,8.17018800721804,7.5,14.126195718844,8,2,20,51,19.0310357624016,1.41301820806012,8.17018796294561,0.706509070646792,22.296383728762,0.739672167027601,0.755706569433023,-2.52504762873936,0.0663261394894228,1.86979743886605,7.23528924351259,0,9.10508668237864,1.41301820806012,0.533333333297572,22.0297170621132,1.41301820806012,22.5630503954107,0.0663261394894228,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-10,13.2024379466687,FALSE,-32.027978864527,TRUE,19.0310357624016,24,TRUE,1,0.85,TRUE,0.0469420302225695,0.75,TRUE,7.22444426205129,TRUE,7.23528924351259,TRUE,1.89607842846377e-09,0.05,TRUE,3.62617168059634e-08,TRUE,19.0310357624016,1.41301820806012,8.17018796294561,0.706509070646792,22.296383728762,0.739672167027601,0.755706569433023,-2.52504762873936,0.0663261394894228,1.86979743886605,7.23528924351259,0,9.10508668237864,1.41301820806012,0.533333333297572,22.0297170621132,1.41301820806012,22.5630503954107,0.0663261394894228,NA,NA
9,WT,50,SCV028,24,1.44767294783145e-15,3.31230663189199e-15,1.86463368406054e-15,9,3.31230663189199e-15,0.3,FALSE,1.86463368406054e-15,0.1,FALSE,1a_1b_1c,no_signal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,WT,50,SCV028,24,1.42268588703591e-15,3.717771588,3.717771588,10,3.717771588,0.3,TRUE,3.717771588,0.1,TRUE,1c_3a_8,double_sigmoidal,0.396307051703764,0.0687072562285077,5.76805236386852,1.00132261869841e-06,155.735915500181,848.746942848042,0.183489221154183,0.855341149257389,0.232203050398442,0.0300204425670285,7.73483101989547,1.81504187762945e-09,6.78779409923775,-21.323763738361,50.647527476722,57.6923279394962,TRUE,0.496242039185017,4.68713678015629,0.259326840515714,1,TRUE,1.4733790969483,6.4889964791742,5.57287320956262,10,5,20,27,NA,1.4733790969483,5.57287320956262,0.73668954847415,2.3901879431466,0.616428135357695,5.26465914188377,0,5.88108727724147,1.4733790969483,0.00635430058422334,0.0143796545155473,0.441895219203847,0.661137137178904,0.899084201711458,0.0157335825746108,57.1442770550113,1.07261069723533e-37,73.2805465396313,12.5665478119628,5.83139837894631,1.06227170085267e-06,0.255060794656161,0.00267853939384481,95.2238355135945,7.60621198254891e-46,180,40.8006211643224,4.41169753948253,8.53337554019314e-05,0.340633251749174,0.00358062074647549,95.1324577126659,7.88015145779263e-46,0.116742729630717,66.0287726924739,-118.057545384948,-105.729144575093,TRUE,0.242269254056737,1.37721095569432,81.0443717577611,0.451076661255211,144.232621505647,0.384538051164709,1,TRUE,0.00635430058422334,3.34258970034252,3.05335610581797,6.12145907174786,7.5,8.17519804198017,10,2,20,32,11.8462640590997,3.34258970034252,6.12146417761616,1.67130793820584,14.2966570903177,1.68191496565779,2.55152925940731,-6.22753125036901,0.0212398196857054,1.31003385049128,5.46644725237051,0,6.7764811028618,3.34258970034252,0.533333314137927,14.0299904332488,3.34258970034252,14.5633237473867,0.0212398196857054,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,-10,50.647527476722,FALSE,-118.057545384948,TRUE,11.8462640590997,24,TRUE,1,0.85,TRUE,0.00635430058422334,0.75,TRUE,5.26465914188377,TRUE,5.46644725237051,TRUE,2.90538328216806e-16,0.05,TRUE,2.55086420347433e-08,TRUE,11.8462640590997,3.34258970034252,6.12146417761616,1.67130793820584,14.2966570903177,1.68191496565779,2.55152925940731,-6.22753125036901,0.0212398196857054,1.31003385049128,5.46644725237051,0,6.7764811028618,3.34258970034252,0.533333314137927,14.0299904332488,3.34258970034252,14.5633237473867,0.0212398196857054,NA,NA
